y,alpha,beta
1,92,74
1,747,83
1,688,880
0,949,210
1,471,15
1,849,297
1,696,894
1,705,879
0,205,700
1,8,443
0,870,849
1,659,859
1,937,158
1,359,930
1,787,39
0,821,820
1,203,154
1,961,115
0,276,799
1,121,12
1,700,706
0,666,134
1,277,514
1,49,787
1,978,99
0,368,714
1,737,832
1,880,710
1,555,942
0,588,531
0,165,850
1,357,324
1,679,222
1,492,109
0,465,202
1,467,106
1,924,851
1,326,211
0,531,384
0,209,646
1,47,107
1,64,127
1,766,868
1,639,944
1,846,272
0,390,504
1,164,768
1,990,347
1,138,984
1,47,509
1,136,41
1,613,362
1,41,888
1,337,527
1,603,865
0,389,792
1,642,387
1,23,689
0,896,341
1,29,946
1,669,577
1,749,329
1,48,371
1,210,241
1,624,195
1,586,600
0,176,310
1,95,433
0,305,372
1,803,95
1,42,756
1,284,559
1,258,166
0,501,556
1,105,808
0,442,836
1,961,325
1,56,937
1,299,908
0,939,923
1,777,806
1,905,261
1,475,739
0,740,584
1,275,597
1,605,683
1,670,964
1,68,403
1,197,909
1,185,186
1,587,422
1,335,803
0,297,186
0,201,817
0,333,434
1,965,563
1,37,227
1,697,624
1,152,460
1,669,56
0,545,844
1,532,712
0,576,95
0,808,594
1,995,290
0,167,353
1,804,63
1,455,197
1,959,934
0,194,546
0,170,890
0,623,286
1,75,336
1,615,41
1,672,902
1,383,364
1,451,886
1,75,771
1,712,640
1,357,225
1,131,531
0,949,812
1,907,272
1,260,144
1,16,524
0,629,128
1,969,307
0,346,758
0,530,351
1,700,95
1,637,539
0,423,566
0,895,951
1,567,982
0,829,745
0,172,48
1,354,670
1,682,377
1,776,24
1,859,688
1,217,485
1,636,27
1,100,819
1,824,421
1,14,109
1,609,8
0,709,427
1,376,360
1,343,924
1,248,130
1,42,60
1,650,14
1,316,881
1,660,763
1,711,318
1,435,982
1,145,234
1,186,140
1,655,726
1,389,172
1,451,161
1,68,327
0,186,509
1,633,47
0,919,245
0,169,351
1,689,761
0,363,388
1,633,41
0,488,400
0,163,359
0,743,141
0,936,463
1,538,658
1,645,747
0,288,353
0,432,523
1,475,349
0,675,445
1,937,977
0,797,453
1,50,82
1,45,134
0,922,946
1,294,963
1,248,970
1,551,651
1,793,361
1,457,0
1,341,265
0,618,510
0,219,717
1,182,760
0,896,865
1,618,684
0,784,631
1,969,458
1,985,711
1,598,755
1,156,939
0,368,156
1,859,685
0,343,528
1,96,481
0,846,891
1,954,345
1,445,383
1,491,38
1,123,483
1,333,6
1,464,221
0,954,921
1,341,274
1,299,905
1,627,861
1,716,384
0,395,483
1,51,404
1,952,126
0,749,449
1,81,76
1,641,411
1,462,155
1,652,231
1,333,723
0,507,319
1,489,674
0,161,569
0,835,438
1,987,382
1,650,268
1,655,259
0,564,866
1,275,880
1,834,914
1,349,10
0,860,136
1,586,413
1,576,2
1,594,408
1,100,990
1,580,617
0,597,449
0,378,542
1,622,860
1,319,314
0,538,199
1,877,621
1,789,32
1,977,169
1,92,526
0,843,678
1,953,580
0,389,562
1,70,94
0,861,901
1,514,575
1,281,120
1,405,181
0,160,863
0,475,802
1,102,944
1,496,969
1,408,911
1,17,509
1,606,977
1,885,97
1,15,26
1,224,573
1,514,59
0,586,124
1,844,996
1,59,776
1,661,204
0,600,85
1,483,587
1,356,269
1,556,771
0,886,887
1,940,100
0,914,780
1,791,370
1,464,147
0,944,279
0,930,225
1,123,719
1,143,965
1,79,539
1,868,56
1,727,925
0,112,315
1,49,273
1,660,54
1,555,781
1,68,50
1,801,919
1,12,669
1,244,541
1,8,618
0,59,201
1,290,124
0,757,463
1,563,713
1,427,896
1,64,655
1,8,17
1,760,697
0,920,476
1,863,240
0,510,400
0,806,212
1,123,46
1,689,880
1,160,140
1,18,120
1,255,970
1,334,318
1,480,306
1,31,736
1,348,287
1,407,364
0,360,115
1,590,557
0,641,434
0,277,174
1,438,413
1,968,372
1,20,141
0,316,455
0,678,415
1,58,39
1,248,568
0,226,717
1,783,949
1,309,883
0,474,414
1,312,231
0,786,463
1,934,32
0,896,663
1,28,333
0,306,61
0,917,761
0,633,505
1,427,87
0,128,97
1,58,409
1,430,992
1,758,361
0,482,473
1,747,732
1,957,584
0,496,393
1,95,79
1,600,55
0,844,156
1,106,45
1,480,771
1,540,32
1,762,315
0,531,163
1,299,889
1,76,968
1,237,617
1,361,244
1,348,715
0,808,659
1,60,74
1,482,647
1,579,761
1,798,408
1,120,493
0,281,323
1,738,92
0,780,748
0,873,809
1,757,297
0,810,289
1,894,13
1,255,132
1,788,905
1,46,339
1,184,28
1,711,686
1,465,712
1,238,899
1,774,357
0,890,845
0,336,789
1,204,434
1,442,292
1,799,995
1,383,371
0,553,336
1,550,21
1,515,871
1,317,622
1,969,641
1,890,455
1,987,138
1,288,822
1,667,213
1,158,386
0,538,865
1,552,787
1,787,112
1,7,17
1,689,698
0,210,844
1,855,711
1,701,353
1,314,47
1,439,987
1,889,444
1,149,695
1,356,30
0,839,204
0,115,327
1,202,783
1,338,639
0,401,748
1,820,905
0,755,547
1,591,420
0,833,692
1,500,887
1,480,249
1,473,692
0,396,423
1,557,945
0,151,912
1,884,689
0,360,715
1,137,804
1,513,653
0,425,547
0,888,178
0,912,718
1,26,784
1,622,718
1,356,635
0,539,263
0,803,464
1,880,28
1,774,44
1,995,35
1,989,406
0,117,361
1,67,407
0,552,235
1,238,204
0,946,470
0,721,543
1,633,767
1,175,147
1,332,234
1,783,517
1,70,89
0,950,257
0,521,353
1,682,946
0,796,474
1,959,156
0,446,718
1,466,15
1,81,592
1,973,595
0,833,187
0,739,584
0,68,155
0,511,295
1,114,757
1,768,951
1,763,97
1,714,280
0,888,862
1,200,250
1,730,85
1,283,427
1,820,44
0,508,845
1,649,225
1,640,612
0,917,257
0,170,87
0,896,327
1,842,519
1,177,130
0,293,735
1,633,716
1,263,219
1,542,872
1,792,184
1,906,401
0,758,518
1,256,884
1,117,679
0,408,480
0,563,100
0,576,442
1,38,176
1,628,386
1,670,34
1,202,775
0,853,792
0,373,637
0,203,331
1,791,346
1,727,940
1,39,661
0,437,741
1,750,633
0,911,931
0,73,309
1,307,499
1,349,656
1,820,249
1,430,307
1,255,298
1,681,602
1,489,622
0,480,549
1,412,166
1,645,50
1,925,130
1,710,695
1,43,786
1,237,502
1,984,757
0,807,740
1,688,699
1,421,173
0,522,242
1,860,751
1,390,840
1,192,149
1,727,302
0,467,164
0,404,555
0,950,679
0,307,411
1,212,750
0,646,118
0,910,627
1,670,908
1,740,105
1,0,917
1,136,407
1,557,881
0,613,293
0,321,751
1,582,427
1,179,761
1,188,923
0,807,586
0,623,314
1,674,960
1,666,81
0,533,508
1,315,246
1,66,575
1,50,122
1,149,439
0,951,731
1,868,754
1,415,414
1,325,528
0,365,790
1,441,971
0,416,786
0,327,138
0,819,667
1,407,995
1,593,10
0,555,304
1,353,238
0,125,171
0,948,301
0,613,321
1,956,34
0,396,527
0,826,192
0,750,437
1,716,321
0,824,793
1,151,432
0,558,505
1,845,967
0,718,141
1,901,616
1,23,28
1,553,808
0,865,474
0,604,92
0,355,150
1,311,15
1,945,172
1,817,234
0,561,251
1,755,995
0,939,870
1,152,767
1,205,770
1,538,611
1,31,448
1,350,574
0,504,467
0,67,255
0,612,259
1,667,205
1,869,975
0,515,237
0,948,472
1,234,466
0,814,749
0,968,627
1,101,617
1,635,53
1,77,372
0,217,84
0,370,580
1,213,935
0,929,887
1,686,917
1,395,832
1,550,903
0,652,536
0,537,488
1,992,849
1,244,948
1,818,909
1,648,585
1,315,799
1,176,460
0,418,470
0,406,604
1,362,311
1,843,928
1,98,685
1,638,256
0,376,583
1,354,710
1,905,3
1,539,765
1,986,900
0,572,475
1,447,166
1,366,947
1,856,954
1,807,242
1,12,972
1,397,964
1,912,42
1,75,498
0,796,799
1,246,608
0,112,107
1,711,990
0,209,830
1,468,987
0,858,435
0,569,436
1,53,813
0,716,482
1,73,55
1,966,172
0,406,727
1,210,93
1,403,873
1,590,753
1,127,596
0,811,706
1,481,131
1,815,8
1,543,682
1,649,54
1,140,695
0,841,790
1,51,24
1,789,525
1,152,685
0,670,477
1,405,359
1,162,661
1,890,713
1,890,741
0,367,596
1,314,597
1,674,250
0,822,694
1,210,205
1,412,408
0,413,558
0,427,710
1,129,975
0,811,791
1,373,801
0,753,264
1,808,256
1,256,467
1,26,705
0,814,821
1,201,274
1,969,227
1,329,708
0,583,816
1,399,142
1,37,360
1,657,301
1,81,721
0,265,68
1,869,109
0,517,244
1,497,617
0,784,781
1,308,582
0,432,780
1,430,280
1,393,49
1,625,13
1,14,524
0,748,450
1,676,627
1,190,390
1,272,631
0,312,350
1,962,975
1,461,63
1,58,86
0,503,358
0,788,590
1,700,187
1,666,565
1,236,608
1,220,449
1,6,675
1,459,204
1,668,950
1,633,872
0,156,53
0,202,696
0,831,131
1,686,747
0,327,103
1,593,556
0,488,223
1,202,209
0,596,815
1,331,907
1,237,260
0,928,336
1,737,191
0,350,756
1,631,211
1,972,455
0,246,76
1,269,125
1,63,348
0,469,466
1,382,96
1,574,620
1,210,234
0,113,123
0,839,884
1,105,682
0,171,85
0,656,418
0,522,413
0,335,459
1,260,446
1,763,370
1,245,102
1,983,134
1,970,990
0,484,575
0,407,564
1,229,277
1,768,805
1,0,23
0,304,766
1,47,504
1,949,560
0,224,65
1,967,374
1,668,943
1,16,397
0,214,813
1,388,986
1,118,579
1,93,680
1,522,567
0,512,552
1,493,991
1,339,682
1,571,875
0,170,334
0,582,356
1,549,49
1,778,11
1,276,965
0,395,423
1,90,944
0,363,553
0,937,208
0,869,324
1,82,660
0,282,789
1,640,885
1,600,759
1,868,22
1,981,164
1,909,577
1,256,553
1,123,695
1,43,387
1,153,750
1,3,916
0,184,661
0,119,171
1,214,398
0,576,339
0,511,189
0,254,725
0,909,477
0,355,108
1,276,479
1,636,181
0,367,775
0,803,744
1,279,480
1,972,414
0,788,396
1,73,736
1,124,612
1,748,732
1,713,698
0,72,176
1,534,814
0,651,796
0,791,475
1,657,737
1,186,384
1,225,217
0,556,219
0,936,928
1,719,796
1,38,570
0,905,926
1,272,854
0,713,508
0,157,90
1,552,923
0,237,654
1,9,40
1,605,865
1,171,112
0,394,506
0,850,141
0,358,543
0,889,868
1,239,896
1,595,992
1,625,357
0,951,802
0,444,450
0,954,713
1,282,305
1,291,218
1,387,145
1,671,307
1,599,402
1,116,935
1,35,864
1,651,252
1,321,967
1,379,93
1,698,837
1,657,51
0,881,140
1,85,796
1,726,826
1,40,146
1,168,964
1,640,667
1,248,304
1,708,39
1,226,916
1,884,780
1,976,705
0,136,236
0,330,738
1,992,601
0,77,172
1,586,538
1,48,166
1,983,675
1,118,808
1,622,425
0,193,712
1,21,438
1,549,74
1,408,316
1,615,685
0,105,198
1,727,626
1,894,420
1,352,676
1,223,955
1,890,776
0,941,760
1,938,377
1,509,707
1,68,509
0,215,86
1,87,616
0,562,133
0,526,202
0,916,481
0,630,319
1,587,600
1,381,150
1,559,946
0,418,419
1,629,23
0,337,790
1,306,797
0,863,160
0,114,202
1,118,569
1,626,371
1,494,624
0,854,503
1,3,259
0,381,478
1,666,163
0,295,379
0,634,837
1,691,894
1,709,985
0,663,834
0,693,388
1,490,258
1,762,829
1,218,8
1,813,244
1,984,494
1,331,651
0,571,185
0,136,354
1,584,217
1,238,523
1,986,217
1,953,123
1,256,422
1,366,303
1,608,878
1,22,721
0,372,786
1,748,220
1,111,953
0,917,910
1,288,625
1,698,670
0,829,597
1,112,475
1,33,155
1,987,425
1,524,21
1,744,265
1,767,25
1,32,760
1,244,291
0,534,163
1,560,930
1,504,932
1,580,621
1,825,946
1,461,916
1,976,182
0,467,855
1,498,591
1,854,733
0,769,594
0,187,605
1,482,871
1,694,26
1,660,733
0,91,333
1,905,260
1,729,309
1,515,714
1,974,400
1,624,653
1,666,341
1,751,632
1,24,233
1,703,756
1,339,532
0,101,296
1,761,506
0,582,854
1,63,953
1,138,715
1,180,476
0,247,756
0,722,400
1,860,232
1,771,197
1,839,234
1,295,212
0,454,803
1,964,74
1,653,384
1,811,517
0,770,243
0,219,812
0,140,313
1,227,510
1,896,432
0,903,868
1,887,627
1,891,53
1,413,927
0,949,643
0,731,457
1,968,94
1,524,988
1,223,996
1,376,309
0,474,843
1,352,566
1,272,573
0,399,469
0,84,288
1,258,987
1,789,318
0,767,454
0,405,443
0,547,418
1,769,84
1,756,234
0,325,413
1,382,252
1,528,777
1,604,16
1,780,519
0,461,165
1,229,286
1,815,416
0,911,291
0,371,706
1,204,909
0,563,388
0,133,246
1,460,881
1,38,20
1,875,15
1,383,377
1,515,736
1,759,911
1,99,72
1,143,933
0,446,497
1,959,931
0,224,771
1,286,672
1,580,791
1,11,18
1,254,307
1,825,554
1,66,756
1,954,307
1,805,331
0,903,495
0,183,610
1,651,251
1,950,51
0,779,704
1,969,209
1,886,740
1,426,367
0,424,669
0,694,438
0,453,580
0,337,469
0,922,500
0,763,641
1,555,648
0,414,667
1,965,72
0,151,62
0,900,464
1,562,741
0,434,829
0,274,753
0,477,511
1,68,997
1,103,615
1,717,570
0,661,794
0,711,162
1,2,831
0,445,803
0,354,760
0,401,424
0,314,180
1,541,707
1,713,917
1,368,853
1,347,590
1,72,491
1,718,280
1,755,837
1,20,477
0,436,585
1,37,247
1,934,429
0,906,467
0,916,614
1,413,89
0,829,690
0,392,614
1,712,879
0,570,261
0,751,584
0,96,149
1,884,409
1,56,867
0,364,750
1,695,920
1,153,980
1,821,400
0,502,229
1,804,247
1,481,588
1,607,400
0,339,761
0,613,337
1,997,474
1,626,68
1,264,985
1,647,87
1,65,78
0,548,836
0,402,585
1,105,520
1,221,971
1,165,403
1,49,962
1,811,409
0,968,727
1,933,8
0,583,138
0,436,698
1,688,29
1,315,930
1,726,962
1,604,771
1,929,369
1,990,418
0,371,707
1,893,21
0,569,460
1,196,248
0,596,299
1,539,552
1,474,895
1,393,874
1,984,878
1,967,452
1,727,621
1,6,246
0,497,313
1,155,476
1,369,8
1,556,734
0,265,79
0,942,665
0,295,363
1,505,89
0,207,50
1,621,740
1,31,696
1,680,67
1,189,457
0,642,298
1,49,372
0,816,652
0,797,562
1,884,16
0,362,758
0,870,931
0,348,457
1,741,682
0,865,216
1,113,428
1,380,347
0,529,394
1,357,852
1,345,794
0,374,726
1,415,179
1,12,370
1,106,445
1,964,313
0,230,315
1,473,909
1,157,754
1,388,252
0,929,782
1,722,212
1,913,537
1,43,210
1,193,954
1,390,292
1,511,981
1,923,873
1,526,912
0,841,871
1,74,127
0,386,651
1,30,104
1,680,946
1,6,937
0,641,480
1,280,947
1,304,307
0,822,780
0,612,293
0,887,866
1,541,782
0,815,163
1,54,610
1,636,348
0,333,194
1,497,686
1,104,697
1,371,843
1,989,491
1,88,374
1,322,13
0,430,783
1,178,234
0,868,161
1,755,655
0,907,140
1,67,530
0,582,367
1,882,608
1,285,529
1,269,583
1,70,604
0,605,839
1,647,24
1,528,700
1,786,909
1,298,844
1,768,856
1,900,835
1,404,351
1,406,251
1,281,248
1,234,901
0,448,727
1,360,13
1,391,885
0,79,156
0,939,624
1,389,57
1,159,160
1,961,455
0,449,716
1,480,753
1,503,5
1,657,39
1,528,964
1,82,854
1,993,2
1,308,483
1,152,793
1,722,844
1,83,961
1,525,639
0,906,943
1,570,970
1,400,379
1,828,264
1,233,929
1,345,329
1,634,771
1,277,624
1,365,812
1,724,674
1,439,891
1,636,864
1,93,408
1,325,224
1,218,455
1,120,952
1,705,77
0,99,874
1,600,430
1,820,965
0,570,312
1,899,549
1,76,972
0,516,221
1,888,658
0,316,133
0,883,128
1,621,883
1,295,566
0,477,456
1,333,589
0,408,491
1,482,676
0,324,373
1,486,649
1,467,630
0,934,662
0,474,820
1,290,265
1,618,932
0,89,105
1,629,66
1,114,37
1,748,834
0,537,203
1,103,377
0,677,106
0,717,128
1,746,673
0,884,888
0,591,122
1,794,830
0,801,287
1,246,493
1,417,984
1,384,855
0,342,760
1,735,47
1,630,166
0,713,470
1,754,700
1,603,41
1,590,689
1,72,915
1,897,404
1,350,932
1,246,954
1,45,399
0,584,430
1,293,540
0,414,496
1,292,814
0,172,592
1,889,748
1,56,986
1,858,675
1,313,539
0,483,784
1,922,439
1,171,433
1,793,957
0,836,706
1,925,556
1,754,21
1,376,351
0,903,933
0,84,238
0,955,832
0,624,140
1,389,257
0,548,305
1,722,609
0,593,165
0,409,791
1,755,882
1,101,481
1,707,706
1,324,263
1,875,591
1,960,667
1,663,400
1,790,379
0,884,937
1,915,34
1,25,227
1,976,597
0,305,435
0,383,662
1,986,455
1,968,806
1,227,574
0,942,613
1,555,735
0,543,209
1,883,823
1,56,508
0,487,532
1,68,554
1,744,731
1,719,3
1,818,11
1,439,162
1,57,94
0,801,698
1,818,68
1,351,702
0,765,273
1,49,502
1,276,904
0,829,492
1,212,22
0,615,532
0,111,175
1,142,10
1,756,387
0,515,295
1,655,919
1,577,911
0,924,268
1,190,749
1,123,394
1,53,245
0,516,512
1,839,408
1,178,222
0,634,95
1,414,857
1,264,411
1,706,599
0,668,120
1,508,664
1,679,25
0,960,840
1,146,33
0,843,485
1,444,61
1,454,947
1,151,652
1,166,157
0,140,184
1,527,742
1,742,740
0,367,483
0,536,253
1,324,503
1,884,260
1,774,836
1,57,687
1,53,918
0,824,702
1,210,802
0,681,439
0,911,903
0,845,201
1,902,792
1,171,402
1,72,806
0,607,818
1,91,73
1,69,302
0,664,444
1,622,410
0,557,437
0,958,796
0,256,775
1,995,771
1,182,194
1,692,610
1,140,575
0,316,119
1,784,196
1,161,389
1,524,759
1,75,873
1,181,97
1,653,244
0,337,394
1,456,252
1,860,273
1,18,294
1,398,289
0,786,684
1,776,971
1,684,704
1,97,412
1,69,817
1,935,448
0,309,396
1,868,670
1,836,416
0,896,489
0,905,487
1,973,490
1,261,257
1,886,581
1,525,738
0,944,462
0,938,294
1,738,923
0,119,255
1,477,671
1,931,445
1,36,13
1,53,481
0,835,704
1,307,668
1,300,244
0,916,702
1,71,856
1,625,595
0,196,636
1,750,829
1,850,68
0,129,298
0,353,369
1,7,246
0,291,741
1,761,837
1,116,452
1,878,638
0,385,620
0,142,341
1,774,69
1,9,487
1,4,779
1,72,845
1,954,148
1,92,818
0,905,208
1,442,37
1,389,307
0,774,137
1,125,594
1,713,979
0,741,476
0,926,207
1,458,898
1,898,228
0,444,556
1,234,172
0,64,161
1,927,355
0,140,290
0,692,450
0,814,647
0,308,346
1,149,834
1,581,661
1,394,838
1,211,119
1,811,527
0,788,679
1,841,323
1,407,980
1,324,638
1,697,23
1,601,6
0,828,721
1,811,22
1,137,934
0,252,37
1,306,546
1,388,208
1,647,403
1,488,950
1,630,758
1,617,597
1,143,590
0,564,203
1,424,131
0,822,145
1,198,452
0,315,364
0,540,500
1,277,595
0,673,511
0,354,378
1,601,743
0,253,319
1,90,429
0,558,224
1,376,335
1,460,991
1,188,959
0,220,814
0,668,493
1,726,224
1,314,806
1,651,875
1,325,705
1,118,822
0,934,305
1,394,824
1,10,225
1,898,441
1,284,602
0,750,454
0,188,874
0,686,553
1,310,484
1,311,683
1,677,852
1,189,158
1,720,13
1,65,987
1,599,961
1,386,815
0,69,293
0,766,662
1,577,903
1,673,598
1,111,10
0,168,280
1,374,241
0,325,478
1,340,70
0,792,598
1,284,529
1,239,240
1,426,192
1,1,7
1,955,430
0,240,749
0,358,556
0,244,679
0,590,843
0,853,814
1,730,711
1,503,971
1,389,256
1,306,879
0,690,498
0,406,719
0,768,156
1,894,225
1,374,352
1,857,697
1,691,890
0,205,691
1,961,67
1,969,581
0,398,503
1,390,131
0,186,309
1,7,321
1,335,659
1,8,39
0,276,783
0,515,309
1,459,697
0,599,508
0,799,691
1,423,880
0,688,408
1,703,800
1,484,753
1,715,218
0,108,295
1,957,91
0,209,645
1,901,809
0,841,156
0,375,493
1,814,390
1,348,339
0,777,293
0,825,672
0,268,41
1,894,53
1,327,30
0,135,329
0,112,239
1,947,63
1,289,499
0,598,251
1,984,194
0,188,668
1,180,164
1,30,287
1,977,91
1,202,12
1,170,716
1,466,610
0,695,130
1,10,579
1,330,980
1,997,245
1,553,735
1,454,35
1,893,549
0,862,516
0,524,456
1,838,113
0,109,350
1,970,206
0,549,130
0,884,927
0,302,425
0,550,483
1,34,910
1,882,697
1,483,58
1,657,271
1,578,22
1,243,394
1,5,273
1,202,980
1,417,205
1,941,359
1,56,668
0,484,835
1,268,951
1,341,911
1,562,704
1,974,807
1,691,625
1,811,110
1,43,8
0,518,275
0,627,847
0,940,619
1,774,98
0,720,530
1,203,407
0,360,488
1,998,82
1,806,393
1,101,994
0,912,892
0,907,193
1,648,933
0,746,502
0,616,830
1,389,0
1,967,560
1,359,801
1,913,29
1,482,661
0,56,236
0,638,476
1,382,931
1,252,270
0,756,133
0,838,799
1,939,583
0,176,643
0,822,827
1,141,641
1,412,972
1,660,36
0,789,731
0,360,452
1,417,5
1,159,146
1,783,884
1,519,698
1,263,962
0,507,488
0,683,137
0,203,515
1,89,717
1,630,765
1,281,475
1,48,154
1,288,232
1,961,5
1,489,29
1,221,445
1,234,519
1,5,686
0,911,624
1,14,266
1,740,716
0,671,410
0,602,168
1,965,11
1,18,137
0,478,418
1,398,255
1,187,165
1,62,601
1,36,463
1,317,534
1,688,50
0,421,453
1,54,74
1,736,70
0,944,925
0,260,75
1,489,40
1,70,365
1,846,562
1,995,216
1,885,586
1,343,903
1,515,640
1,814,432
0,232,328
1,287,925
0,567,97
1,377,246
1,655,927
0,438,616
0,644,452
0,225,818
1,964,759
1,128,16
1,896,571
1,704,721
1,49,584
0,934,456
0,685,151
0,551,442
1,773,751
1,377,186
0,131,95
1,274,685
0,448,467
1,328,980
1,16,998
0,487,407
0,225,699
1,860,57
0,448,504
1,344,821
1,122,583
1,652,185
1,336,538
0,766,685
1,859,639
1,264,306
1,67,970
1,320,212
1,820,26
1,783,315
1,941,26
1,572,679
1,109,576
0,852,872
1,816,381
1,236,146
1,808,516
0,108,138
1,841,946
0,606,120
0,319,419
0,804,212
1,703,84
0,672,403
0,199,558
0,755,546
0,378,381
1,108,927
0,917,916
0,846,852
0,791,279
1,267,106
1,561,716
1,7,419
0,143,371
0,135,916
1,944,998
1,231,6
1,963,994
1,707,11
0,924,707
0,65,149
0,769,663
1,457,135
1,466,360
0,909,527
1,326,671
1,376,139
0,429,625
1,17,327
1,856,622
0,541,866
1,685,775
1,783,926
0,926,601
0,443,765
1,83,809
1,302,212
1,31,917
0,564,247
1,687,696
1,736,717
1,550,714
0,236,759
1,138,438
1,69,422
0,514,515
1,857,312
0,436,525
1,353,621
1,897,835
1,890,27
1,626,770
0,717,507
1,675,381
1,89,673
1,768,211
0,926,681
0,563,218
0,558,485
1,61,954
0,140,256
0,418,761
1,665,961
1,249,451
1,767,825
0,687,487
1,375,101
0,595,303
0,321,744
1,521,90
1,11,494
0,237,703
1,762,36
1,426,198
1,918,855
0,128,156
1,711,579
0,908,626
1,478,45
1,99,13
1,427,850
1,910,392
0,606,825
1,40,832
0,243,362
0,116,134
1,549,976
1,981,721
1,651,340
1,81,480
1,922,430
1,836,384
1,834,996
1,617,722
1,128,844
1,92,634
1,153,826
1,255,224
0,865,906
1,193,425
1,811,49
0,930,316
1,721,714
1,666,670
1,437,255
1,655,963
0,611,509
1,155,972
1,992,698
0,917,471
0,578,302
1,414,852
1,561,965
1,120,678
0,897,876
0,180,849
1,648,87
0,850,692
0,70,287
1,839,613
1,61,983
0,494,163
1,418,296
1,13,131
0,788,609
1,687,302
0,144,71
0,241,370
1,211,931
0,476,410
1,326,608
1,475,667
1,578,48
0,891,339
1,905,247
0,797,632
1,274,132
1,494,62
0,938,639
1,704,302
1,150,234
0,751,624
1,832,111
0,765,680
0,780,421
1,76,125
1,678,877
0,805,168
1,59,453
0,135,284
0,527,421
0,781,142
1,21,421
1,994,706
1,517,943
0,137,200
1,212,953
0,779,549
1,977,665
0,167,314
1,43,172
1,495,867
1,257,436
1,862,771
1,290,274
0,582,462
1,678,323
0,629,276
0,493,529
1,823,948
1,748,295
0,304,746
1,276,148
1,622,45
0,905,330
1,764,904
1,733,592
1,433,849
0,195,676
1,877,45
1,305,652
0,537,335
0,891,327
0,212,747
0,604,363
0,159,572
1,234,198
1,285,683
1,666,875
1,244,242
1,823,997
1,811,855
1,222,387
1,63,305
1,353,895
1,421,274
1,383,70
0,470,493
1,587,238
1,259,699
1,629,553
1,901,746
0,513,357
1,894,443
1,405,199
0,474,797
1,13,379
1,672,898
1,666,851
1,800,380
0,925,621
0,290,77
1,347,919
1,338,332
1,788,493
1,785,842
0,545,536
1,747,231
1,376,270
1,856,395
1,987,731
1,258,988
0,588,90
0,919,170
1,287,488
1,966,665
1,728,731
1,751,798
1,239,878
0,256,355
1,979,385
0,185,627
1,193,270
0,610,136
0,85,131
1,401,969
1,770,23
1,674,363
1,559,733
1,22,76
1,862,614
0,95,269
1,625,630
0,493,488
1,152,788
1,47,246
1,184,820
1,200,247
1,120,483
0,544,364
1,658,679
1,486,912
1,21,314
0,168,479
1,753,248
0,722,540
1,970,972
1,42,233
1,582,685
0,746,454
0,117,235
0,575,378
1,117,630
1,97,970
1,730,757
0,428,585
1,496,609
0,876,870
0,613,288
1,56,720
1,974,235
1,486,703
0,507,448
0,111,332
1,166,241
1,282,36
1,601,975
1,283,708
1,580,772
0,420,719
1,329,236
0,116,75
1,983,353
0,159,279
0,492,855
1,637,199
0,937,837
1,7,280
0,157,503
1,627,859
0,645,488
1,327,886
0,806,704
1,483,924
0,562,357
0,819,563
0,468,502
0,621,140
1,225,214
1,349,877
0,390,756
1,321,900
1,13,420
1,909,985
0,121,286
1,153,769
1,862,43
1,942,336
0,919,701
1,840,909
0,437,491
